t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4799998,0,0,0.4599997,0,0,1,0,0,0.009999737,-0.1999947,-0.8,0,,0.4,0,0.4
0.4999998,0,0,0.4797997,0,0,0.9900002,0,0,0.02979974,-0.5959949,-0.8,0,,0.39600008,0,0.39600008
0.5199998,0,0,0.4990037,0,0,0.9602005,0,0,0.04900374,-0.9800747,-0.8,0,,0.3840802,0,0.3840802
0.5399998,0,0,0.5172276,0,0,0.9111968,0,0,0.06722765,-1.344553,-0.8,0,,0.36447872,0,0.36447872
0.5599998,0,0,0.534107,0,0,0.8439692,0,0,0.08410703,-1.682141,-0.8,0,,0.33758768,0,0.33758768
0.5799998,0,0,0.5493042,0,0,0.7598622,0,0,0.09930424,-1.986085,-0.8,0,,0.30394488,0,0.30394488
